序号,平台,内容类型,文章标题,URL,发布日期,状态,锚文本,目标页面,DR,流量,备注
1,知乎,工具对比,2026年翻译插件推荐,,2026-03-16,草稿完成,NotOnlyTranslator,CWS/官网,,,高优先级
2,知乎,考研攻略,考研英语阅读技巧,,2026-03-16,草稿完成,NotOnlyTranslator,CWS,,,高优先级
3,知乎,产品对比,沉浸式翻译对比,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,高优先级
4,简书,产品体验,用了10款翻译插件后,,2026-03-16,草稿完成,NotOnlyTranslator,CWS,,,高优先级
5,简书,工具合集,5款英语学习神器,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,高优先级
6,CSDN,技术文章,浏览器翻译插件技术实现,,2026-03-16,草稿完成,NotOnlyTranslator,CWS,,,高优先级
7,CSDN,开发教程,从零开发Chrome扩展,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,高优先级
8,掘金,技术分享,Chrome扩展开发实战,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,中优先级
9,豆瓣,经验分享,分享一个英语阅读神器,,2026-03-16,草稿完成,NotOnlyTranslator,CWS,,,中优先级
10,豆瓣,工具推荐,推荐5个英语学习工具,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,中优先级
11,V2EX,产品分享,做了一个Chrome扩展,,2026-03-16,草稿完成,NotOnlyTranslator,CWS,,,中优先级
12,V2EX,技术讨论,如何实现智能词汇分级,,2026-03-16,待创作,NotOnlyTranslator,CWS,,,中优先级
13,扩展迷,目录提交,NotOnlyTranslator产品页,,2026-03-16,待提交,NotOnlyTranslator,CWS,,,低优先级
14,Chrome插件网,目录提交,NotOnlyTranslator产品页,,2026-03-16,待提交,NotOnlyTranslator,CWS,,,低优先级
15,插件小屋,目录提交,NotOnlyTranslator产品页,,2026-03-16,待提交,NotOnlyTranslator,CWS,,,低优先级
